lr,weight_decay,architecture,train_loss_history,val_loss_history,train_accuracy_history,val_accuracy_history,epochs,best_val_loss
0.01,0.0001,"[(2, 16), (3, 32), (3, 64)]","[0.5814551938147772, 0.5903628723961967, 0.871286812282744, 0.4851136278538477, 0.7183054713975816, 0.5762936671574911, 0.4645225348926726, 0.6524794754527864, 0.7376462448210943, 0.4241909257003239, 0.5558929698807853, 0.3883168910230909, 0.39530485158874873, 0.38129619047755287, 0.5605500524952298, 0.35776733784448533, 0.5884506787572589, 0.6032706144310179, 0.4923899258886065, 0.41907761494318646, 0.34835611354737056]","[0.5701585497174945, 0.5820604307310921, 0.8990673848560878, 0.47863262466021944, 0.7340933169637408, 0.5432648743901934, 0.45927039640290396, 0.6378168208258492, 0.7303924219948905, 0.4286494808537619, 0.5428493065493447, 0.3825063875743321, 0.389051228761673, 0.3745889110224588, 0.5568766253335136, 0.3381183658327375, 0.6007739773818425, 0.5976467217717852, 0.47560746329171316, 0.38091167381831575, 0.3443728600229536]","[0.7480466820987655, 0.7468428612764549, 0.7512040963955026, 0.7468634328152556, 0.7558745590828924, 0.7467208512455907, 0.7986813616071429, 0.746676738866843, 0.746808524856702, 0.7982320739638448, 0.746458698467813, 0.8216882784942682, 0.8069324225639329, 0.7944868069334216, 0.75039026675485, 0.8276841655643737, 0.7674290950176366, 0.7498992573302469, 0.7515160796957672, 0.8269734623015873, 0.85775141920194]","[0.7582457010582011, 0.7549419918430335, 0.7536194885361551, 0.7547492835097002, 0.7501419201940036, 0.753276207010582, 0.7962813051146383, 0.7512183366402116, 0.752380897266314, 0.7863545524691358, 0.7560102788800706, 0.8256908344356261, 0.8149421020723105, 0.7987576333774251, 0.7554333664021164, 0.8372188877865963, 0.7723622685185186, 0.7569864969135801, 0.7569380787037038, 0.8389489914021163, 0.8605589726631393]",21,0.3381183658327375
0.01,0.0001,"[(4, 8), (3, 16), (3, 32), (4, 64)]","[0.7585651079813639, 0.5796903570493063, 0.484472203822363, 0.4735449055830638, 0.4287050408976419, 0.4737068031515394, 0.4685107696624029, 0.42920432913871037, 0.4184447839146569, 0.3461267181805202, 0.397119246778034, 0.3884991350628081, 0.4078365379855746, 0.40551005942480906, 0.48424174388249713]","[0.7376037069729396, 0.5846184066363743, 0.48095227565084187, 0.4718225257737296, 0.42322456410952974, 0.46389550396374296, 0.4446957792554583, 0.4155075252056122, 0.41005428774016245, 0.3313572534493038, 0.3925763028008597, 0.37992770756993977, 0.390698390347617, 0.40726010288511005, 0.4798043540545872]","[0.6924647128527336, 0.7511854883156966, 0.7553188312940917, 0.7709160466269841, 0.7879552055776015, 0.7663660507605821, 0.7514821084104938, 0.7695105268959433, 0.7802788456238977, 0.8497374131944445, 0.828467647707231, 0.8217012993276013, 0.790105358520723, 0.8030550044091713, 0.7458695712081129]","[0.6944028604497355, 0.7547568066578483, 0.761269565696649, 0.7752461695326278, 0.7967576058201057, 0.7690490520282187, 0.7613038470017637, 0.7782036761463844, 0.787496307319224, 0.8612014715608466, 0.8264204971340386, 0.8249835482804234, 0.8027969301146385, 0.801833774250441, 0.745051669973545]",15,0.3313572534493038
0.01,0.0001,"[(2, 16), (3, 32), (3, 64), (3, 64)]","[1.034183232557206, 0.48095367494083585, 0.4817724738802229, 0.4065517627057575, 0.453597434929439, 0.40288506803058444, 0.379259603364127, 0.5610372693765731, 0.40497605147815885, 0.3446377700283414, 0.38156718015670776, 0.3187228980518523, 0.3730760443778265, 0.34340982210068477, 0.4180788170723688, 0.40781145578338984, 0.34713312841597055]","[1.0129352722849165, 0.47846589769635883, 0.4702437307153429, 0.3934655785560608, 0.4456855612141745, 0.39630576968193054, 0.362150456224169, 0.5418105636324201, 0.40340503198759897, 0.314052551984787, 0.37628614051001413, 0.31017797759601046, 0.35406725321497234, 0.32433050870895386, 0.40004042216709684, 0.3776134252548218, 0.3252862138407571]","[0.736697296626984, 0.7730135237544092, 0.7466430224867724, 0.7866550994819222, 0.7469990699404762, 0.7484454227292767, 0.7752754491843035, 0.7471033055004408, 0.7689974371693123, 0.852564022541887, 0.7977220913249561, 0.8609935378086417, 0.8048386381172841, 0.8372688767636682, 0.7900590622244269, 0.8299591669422399, 0.8595528480489417]","[0.7428383763227513, 0.7770593584656085, 0.7573460648148148, 0.7978474977954145, 0.7546871968694886, 0.7566030092592592, 0.785593998015873, 0.754342289462081, 0.772016369047619, 0.8674180720899471, 0.8067635582010582, 0.8663980103615518, 0.812959270282187, 0.851283592372134, 0.8010642912257495, 0.8410462136243387, 0.8696092096560845]",17,0.31017797759601046
0.01,0.0001,"[(2, 16), (2, 32), (3, 64), (3, 128), (3, 128)]","[3.4835580530620756, 0.645168179557437, 0.5124627351760864, 0.42405296791167485, 0.43091286647887456, 0.4116113356181553, 0.4160286784172058, 0.30625843859854196, 0.31793388582411264, 0.3477582505771092, 0.2968444469429198, 0.5887532035509745, 0.7155674156688508, 0.46955233954247977, 0.43270138189906165, 0.34031150170734953]","[3.884931666510446, 0.6464611462184361, 0.5066823831626347, 0.40590809498514446, 0.4164350756577083, 0.3932308724948338, 0.4061840219157083, 0.2953130304813385, 0.31128985966954914, 0.33926255788121906, 0.29509447302137104, 0.5649763005120414, 0.7365615878786359, 0.447868355682918, 0.39067038893699646, 0.32814906750406536]","[0.747106391920194, 0.7278748484347441, 0.7461765873015873, 0.7584285163139329, 0.7699068769290123, 0.8038048735119048, 0.7600660480048502, 0.8681023892195766, 0.8662559041556438, 0.8209399870480599, 0.8735747974537037, 0.7647007412918873, 0.6477829861111111, 0.8203676353064373, 0.8115317184744267, 0.8470695615630512]","[0.7374151785714286, 0.7232040343915344, 0.7544041280864198, 0.7688427854938272, 0.7756070877425044, 0.8170095348324515, 0.7676850198412699, 0.8750259589947088, 0.8719669036596118, 0.8320481426366841, 0.87333451829806, 0.7747107308201058, 0.6395395998677248, 0.8305399029982363, 0.8268362544091711, 0.8551898699294532]",16,0.29509447302137104
0.01,0.0001,"[(2, 32), (2, 64), (3, 64), (3, 128), (3, 128)]","[8.605380875723702, 0.5638817378452846, 0.5674156489826384, 0.48751029939878554, 0.6459246533257621, 0.4330089177404131, 0.42444197620664326, 0.3864577142965226, 0.3216376333009629, 0.37843214472134906, 0.3535026340257554, 0.308734363033658, 0.3545607229073842, 0.38206209029470173]","[9.110618114471436, 0.557637883084161, 0.5687833768980843, 0.4751310348510742, 0.6351669260433742, 0.4137111348765237, 0.41407351408685955, 0.37617117166519165, 0.3092166270528521, 0.3524056673049927, 0.33380249994141714, 0.3101760149002075, 0.3478868305683136, 0.3626334624631064]","[0.7450646425815697, 0.7475207437720458, 0.8322401069223986, 0.746488811728395, 0.746536044973545, 0.7484823426477072, 0.7895609912367725, 0.828609795249118, 0.8659872685185184, 0.843240871638007, 0.8418564332561728, 0.8686430569334217, 0.8741517994929451, 0.853874228395062]","[0.7364193397266314, 0.7531372630070547, 0.8334033289241624, 0.7537687665343915, 0.7515520557760141, 0.756460372574956, 0.7955321869488535, 0.8362742779982363, 0.8728891369047619, 0.8598756889329805, 0.8533637566137566, 0.8667547398589065, 0.8809989252645503, 0.8642672508818342]",14,0.3092166270528521
0.01,1e-05,"[(2, 16), (3, 32), (3, 64)]","[2.630791420028323, 2.769533424150376, 0.5344538106804803, 0.47895723297482445, 0.5111476637068249, 0.5026026822271801, 0.4037563218956902, 0.42172416476976304, 0.4962742584092276, 0.4296184948512486, 0.40649931345667156, 0.4015109624181475, 0.4218046963214874, 0.3832938287939344, 0.3698507448037465, 0.3551939513002123, 0.4557637316840036, 0.3451174185389564, 0.43732881262188866, 0.5055971401078361, 0.4685056677886418, 0.33835338410877047, 0.36789728488240925, 0.3651235444205148, 0.49896442322503953, 0.36287360248111544, 0.34439903639611746]","[2.829704148428781, 2.9712912014552524, 0.5100833134991782, 0.4820194499833243, 0.5019438139029911, 0.49046474269458223, 0.38591559869902475, 0.4189858819757189, 0.4456467500754765, 0.40679570181029184, 0.39755597710609436, 0.3851622300488608, 0.4073480325085776, 0.37960483346666607, 0.3574161614690508, 0.3390848806926182, 0.4337553083896637, 0.33883421761648996, 0.3873017856052944, 0.5117324675832476, 0.4627918856484549, 0.3245001094681876, 0.35960833941187176, 0.3299292155674526, 0.4643434498991285, 0.3519189272608076, 0.3357358234269278]","[0.7175622519841272, 0.6668987061838625, 0.761959662973986, 0.7722023120590829, 0.7980490795855378, 0.7672358217592591, 0.7975556382275132, 0.7900335648148148, 0.774746555335097, 0.7794591118276015, 0.7633021453373016, 0.7755011574074072, 0.771877025462963, 0.8118899016203703, 0.8052241305665785, 0.8128253210427688, 0.7871849096119928, 0.8205932953042328, 0.7967769372795415, 0.7806296640762787, 0.7857528246252207, 0.819695381393298, 0.8053457616843034, 0.8200652626212521, 0.7897935887896826, 0.8189792768959436, 0.8153565779320989]","[0.717386822089947, 0.6653067680776015, 0.7797016369047619, 0.7783369708994711, 0.8082466104497356, 0.7782677744708995, 0.8103929949294532, 0.7975770227072311, 0.7856596671075836, 0.7824078207671958, 0.7700538194444444, 0.7872899305555556, 0.7771063712522046, 0.8188453758818343, 0.8111111662257494, 0.8182071483686066, 0.7976640762786597, 0.8267519290123457, 0.8086554232804233, 0.786299465388007, 0.7951145006613757, 0.8262716600529102, 0.8083015597442681, 0.8339151785714286, 0.799179591049383, 0.822480324074074, 0.8179449404761906]",27,0.3245001094681876
0.01,1e-05,"[(4, 8), (3, 16), (3, 32), (4, 64)]","[0.5760622620582581, 0.5667378590220497, 0.5117733918485188, 0.44851707844507127, 0.4422934324968429, 0.4277726865950085, 0.3600414778505053, 0.36597492013658794, 0.36256990688187735, 0.3423155915169489, 0.36506427895455135, 0.3414356367928641, 0.3322830867199671, 0.32907725657735554, 0.33535643560545786]","[0.5712154422487531, 0.5588382950850895, 0.5059704056807927, 0.43939819080489023, 0.435039154120854, 0.4204844449247633, 0.3501131406852177, 0.3655602719102587, 0.3384631361280169, 0.31595449575356077, 0.357143725667681, 0.3333601440702166, 0.3229674867221287, 0.3189530372619629, 0.3276161530188152]","[0.7555361758708113, 0.7402522183641975, 0.7335775669642859, 0.7872454943783069, 0.7708109912367724, 0.7774005525242506, 0.7888690338403878, 0.8002734650573192, 0.800895847111993, 0.8037461006393297, 0.7893708043981481, 0.8053824404761902, 0.8067231729497354, 0.8056744584986775, 0.7957582947530866]","[0.7634036320546738, 0.7488591269841268, 0.7376270943562611, 0.8001749063051147, 0.7803737323633156, 0.7848420965608466, 0.7977239583333333, 0.8026248622134039, 0.8112982253086419, 0.8169267526455027, 0.7940695271164022, 0.8119412753527337, 0.8161625330687831, 0.8157927138447973, 0.8004723875661375]",15,0.31595449575356077
0.01,1e-05,"[(2, 16), (3, 32), (3, 64), (3, 64)]","[28.46736190432594, 0.55891501052039, 0.4601320510818845, 0.9566164073489961, 0.39261663101968314, 0.36515997988837107, 0.3481047394729796, 0.3754800756772359, 0.37705794118699576, 0.4092297993955158, 0.33510804885909673, 0.31994356285958064, 0.30112261573473614, 0.4487295576504299, 0.31562222114631105, 0.3312570864246005, 0.34089630984124686, 0.338632012406985, 0.41297289729118347, 0.277976855635643, 0.31380399635859896, 0.22665962505908238, 0.2570642573492868, 0.31034474003882634, 0.2704474847941172, 0.38297922554470243, 0.2432916079248701, 0.3041398823261261, 0.34197249582835604, 0.23271666821979342, 0.21901823012601762, 0.1991261321873892, 0.2605519734677814, 0.20117332431532087, 0.20053679602486746, 0.22362609136672246, 0.26915972644374486]","[29.78609848022461, 0.5695738707269941, 0.45380096776144846, 0.9844423958233425, 0.38278680614062716, 0.3453202375343868, 0.3321393770830972, 0.34683364629745483, 0.3811130906854357, 0.4099049781050001, 0.32624530366488863, 0.3045236063855035, 0.2954387537070683, 0.4383251028401511, 0.28645789197513033, 0.31114713847637177, 0.3196291689361845, 0.296947894351823, 0.41682216950825285, 0.27956084055559977, 0.32376040731157574, 0.2367085154567446, 0.2559294615473066, 0.31307752643312725, 0.27987269844327656, 0.40198855314935955, 0.23404490521975926, 0.3064088821411133, 0.3401496708393097, 0.23524059355258942, 0.2288684653384345, 0.20938034781387874, 0.24735379006181443, 0.21662968610014235, 0.21243075600692204, 0.23326951691082545, 0.25076702662876676]","[0.5677453772597002, 0.7216566289131393, 0.7932194113756614, 0.7151984540343915, 0.8219959352954144, 0.8173302538029099, 0.8263973558752203, 0.8279707272376543, 0.8027318672839505, 0.7935781043320107, 0.8308895778218696, 0.8428009259259261, 0.8505744047619048, 0.8319722153328926, 0.8660173059964729, 0.8639475722001765, 0.8524336833112874, 0.8639998277667548, 0.808776420579806, 0.8859277102623456, 0.8582103036816581, 0.9053865740740741, 0.8851737282297178, 0.8771250206679895, 0.8773343253968254, 0.8200553006503528, 0.896695092041446, 0.8810639260912697, 0.8265873291446206, 0.9042140721450619, 0.9108494061397711, 0.9185634438381837, 0.8967522114748676, 0.918168933256173, 0.9190570298721341, 0.9087547398589064, 0.8909020819554675]","[0.5643778384038801, 0.7178930776014109, 0.7962841435185186, 0.7104443066578483, 0.8310359898589066, 0.8257225253527337, 0.8376416997354497, 0.8355178847001764, 0.796416087962963, 0.8001518683862433, 0.8399855599647267, 0.8477520667989419, 0.8546367669753087, 0.8368558752204586, 0.8774983190035274, 0.8759552744708996, 0.8694457120811288, 0.8809556051587302, 0.8116164296737214, 0.8866634700176367, 0.8528941523368606, 0.8996000606261024, 0.8841100088183421, 0.8745059248236331, 0.869813492063492, 0.8111587852733687, 0.9037834545855379, 0.8814207451499118, 0.8336924603174601, 0.9049438932980599, 0.9053354828042328, 0.9136542107583775, 0.9055763062169311, 0.9105781525573191, 0.9126650958994708, 0.902715167548501, 0.8988253692680775]",37,0.20938034781387874
0.01,1e-05,"[(2, 16), (2, 32), (3, 64), (3, 128), (3, 128)]","[5.087042422521682, 0.448248599256788, 0.4038673085825784, 0.3684849086261931, 0.3660209136349814, 0.32551958021663485, 0.3549714358080001, 0.2908322037685485, 0.3094844960031055, 0.277589683731397, 0.3102766616003854, 0.2715000226384118, 0.2899895544563021, 0.25380910010564894, 0.25341672060035525, 0.266844378340812, 0.2569892427750996, 0.284446323911349, 0.2405629718587512, 0.2378538442509515, 0.2606146115632284, 0.29440228924864814, 0.2840023140112559, 0.23066601299104236, 0.2243615481115523, 0.191204153356098, 0.21229922345706395, 0.24965176695869082, 0.2919044210797265, 0.2221728882619313, 0.19937448274521602, 0.20253707397551762, 0.19785291027455104, 0.3040427097252437, 0.22946931989420027, 0.1802946612948463, 0.18159698765902293, 0.1720405284847532, 0.3424606663840158, 0.2999232773269926, 0.18673609480971382, 0.17748461663722992, 0.19543917548088802, 0.21213181245894658, 0.16159392503045855, 0.1538648701139859, 0.15603248100905193, 0.2258823208865665, 0.15368106606460752, 0.17536754232077373]","[5.197483062744141, 0.4383394845894405, 0.40642828174999784, 0.3684384993144444, 0.3613608607224056, 0.33393520968300955, 0.3481755554676056, 0.2861842598233904, 0.3093301313264029, 0.27915060094424654, 0.30704655391829355, 0.2689026658024107, 0.2688623751912798, 0.24582134187221527, 0.2513471863099507, 0.24300868383475713, 0.2479998916387558, 0.28800136276653837, 0.23071980902126857, 0.236682761992727, 0.26285344788006376, 0.27552202556814465, 0.26108154228755404, 0.22906950116157532, 0.2264731568949563, 0.19372520915099553, 0.2167297559125083, 0.2649864596979959, 0.2888357469013759, 0.22996734721320017, 0.19286455639771052, 0.1988600960799626, 0.20185926769460952, 0.2903517484664917, 0.23032136261463165, 0.18546633635248458, 0.18631803563662938, 0.18812994871820723, 0.3200566789933613, 0.30763923696109224, 0.18255695062024252, 0.1814777169908796, 0.18786356278828212, 0.21751336540494645, 0.17143821716308594, 0.1611654513648578, 0.1542841653738703, 0.21120148684297288, 0.16800888734204428, 0.18495682094778335]","[0.7325451871141976, 0.8414931726741622, 0.8566212659832451, 0.8708365024250442, 0.8553049286265432, 0.8787884493496472, 0.8470190903328924, 0.8862339134149031, 0.8614735105268958, 0.8855940806878306, 0.873332699514991, 0.8982813326719579, 0.8854684330908288, 0.8959363563712521, 0.8958624820877427, 0.8899657531415344, 0.8997484154541449, 0.8822585427689595, 0.9011196607694006, 0.9034256985780422, 0.8969291225749558, 0.8868607804232805, 0.889450424382716, 0.9032575575947972, 0.9158347249779543, 0.9236967730379188, 0.9152704337522046, 0.9015957134589947, 0.8811005979938271, 0.9060851245590826, 0.9182160631613756, 0.9242216572971781, 0.9207315710427688, 0.8739633280974427, 0.9063892953593475, 0.9285207368827161, 0.928029238315697, 0.9315387042548502, 0.8651445656966489, 0.880171626984127, 0.9244251543209876, 0.926528232473545, 0.9181514136904761, 0.9170749007936507, 0.936336261298501, 0.939194320436508, 0.9366329020612874, 0.9068596023478838, 0.9387756351962082, 0.9302187086640213]","[0.7259682264109347, 0.8508087522045855, 0.8575388282627865, 0.8722490354938272, 0.8614480544532628, 0.8769887290564374, 0.8568570050705467, 0.8899646715167548, 0.8612882771164021, 0.887264880952381, 0.8809715332892416, 0.8998151455026456, 0.8967418154761904, 0.8983597883597884, 0.8979730489417991, 0.9033271604938271, 0.9039583608906526, 0.879572337962963, 0.9068845348324514, 0.904649250440917, 0.8949200286596121, 0.8920566854056438, 0.9016697255291005, 0.9038801256613757, 0.9173963018077601, 0.9243284005731924, 0.9132272100970018, 0.8966920745149912, 0.8826174768518519, 0.9050651730599648, 0.9225376157407407, 0.9272192184744269, 0.9214706790123455, 0.8800171406525574, 0.9060586970899471, 0.9277274856701941, 0.9273473600088183, 0.9269775407848326, 0.8734619157848325, 0.8767803406084657, 0.9278840112433862, 0.9257812224426808, 0.9238275738536155, 0.9180211089065257, 0.9331411761463845, 0.9373756889329806, 0.9388407738095238, 0.9135546461640212, 0.9339017305996473, 0.9292919973544974]",50,0.1542841653738703
0.01,1e-05,"[(2, 32), (2, 64), (3, 64), (3, 128), (3, 128)]","[21.086069788251603, 0.48977676033973694, 0.4673602680365245, 0.4441632812931424, 0.34659153790701, 0.38478809737023856, 0.3506797864323571, 0.2914895103091285, 0.390004935718718, 0.3046322443655559, 0.3366883099079132, 0.33270599728538874, 0.2920114653451102]","[22.391940389360702, 0.4926867868219103, 0.46333926916122437, 0.4321565968649728, 0.33168865953172955, 0.3697601684502193, 0.34368365577289034, 0.28758888585226877, 0.3754948547908238, 0.30064724172864643, 0.30045224726200104, 0.31533619335719515, 0.28946166379111155]","[0.7288320174713404, 0.8142930376432981, 0.8361652750220459, 0.7541570904982364, 0.8511538111772486, 0.8260220458553792, 0.8645079916225749, 0.8843058449074076, 0.8398541253306879, 0.8818217937059083, 0.8641188616071427, 0.8631237805886245, 0.8831937692901235]","[0.7212843088624339, 0.8124332837301588, 0.8441011078042328, 0.7616213348765432, 0.8621130125661375, 0.8448181492504409, 0.8718055555555556, 0.8872809468694884, 0.8531355544532627, 0.8823782517636686, 0.88120916005291, 0.878351383377425, 0.8854713128306878]",13,0.28758888585226877
