Horse_ID,Accuracy,Precision (IoU)
226,0.8988560157790927,0.8183761086109176
227,0.9246461897356143,0.945356985544388
228,0.7734556367136629,0.7003957520712923
229,0.8735644812680116,0.8266641990649553
230,0.9229329173166927,0.9062102758553253
231,0.9206881804043546,0.9163281942229311
232,0.93406875,0.9482231205799325
233,0.9016419778138528,0.7222952255803767
234,0.930032105760151,0.9554789089755789
235,0.8544847328244275,0.9819631521907416
236,0.916171875,0.8544349597309141
237,0.8824209586265729,0.7850718680166634
238,0.9747022767075306,0.9520723495073724
239,0.827707102073525,0.988976377952756
240,0.8047239356100496,nan
241,0.9237666666666666,0.8781100358302917
242,0.9028367718446602,0.8759560406920621
243,0.9281479166666666,0.9382848291091263
244,0.88151875,0.8169776957827763
245,0.90755,0.8185308048249471
246,0.8373344259652328,0.7245198637437044
247,0.9229166666666667,0.9086434052410598
248,0.9380181121560431,0.8824370319945541
249,0.905773076923077,0.8902973179884286
250,0.7771969470082678,0.656776263031275
251,0.960271108226981,0.8264036958066808
252,0.9288104166666666,0.9285657506245741
253,0.9303873697916667,0.9171208900113489
254,0.8561139455782313,0.7766780080420662
255,0.8469576600162498,0.820849601086403
256,0.9460286458333333,0.9751189169410904
257,0.8549012060559404,0.913234920545316
258,0.7867976085680751,0.9226350412304272
259,0.9687381703470032,0.960475093350282
260,0.9190462662337663,0.9565696410478374
261,0.8291215070412151,0.9795015735306626
262,0.9386327204148986,0.9812231759656652
263,0.9790082355852993,0.9615938053188956
264,0.9707884153161515,0.9344520446828404
265,0.9001101726037458,0.9151535784536239
266,0.8773433048433048,0.8273462536242943
267,0.9339432851792402,0.9625216888374784
268,0.9301809954751131,0.9141914947214144
269,0.9227180989583333,0.9238882607003169
270,0.7756948211493666,0.5522095841879545
271,0.8463313238280544,0.9523934771173067
272,0.8886445585664335,0.8463929681637903
273,0.7929095936567232,0.7651652145323031
274,0.8240738763745062,0.8687042617305208
275,0.8115466450897539,nan
276,0.94083125,0.8838758055804636
277,0.7959023432707644,0.9988479262672811
278,0.8592224102428184,0.9449621134548434
279,0.8108263389288569,0.6995358483112779
280,0.9012577838261372,0.9602358712101445
281,0.5856309650053022,nan
282,0.8668875,0.8746469838466473
283,0.8238824941741403,0.608438791322314
284,0.7022532588454377,0.5235491268301288
285,0.69466875,nan
286,0.9322501532801962,0.969332298136646
287,0.947349626352187,0.8665980795610425
288,0.967815734989648,0.9690391563610727
289,0.8577546296296297,0.8850114416475973
290,0.8983539325842697,0.9974295261759918
291,0.8364770833333334,0.7774442226140685
292,0.7104299114549965,0.6133550116949056
293,0.9473549706107846,0.8760064412238325
294,0.8406727746581047,0.7797174840085288
295,0.8817229166666667,0.9610568126032043
296,0.9718155065327578,0.8483543706499941
297,0.9295706983358315,0.8324896650636969
298,0.9238498232935546,0.8389941875157948
299,0.9567083333333334,0.9644443335495784
300,0.9431729166666667,0.9070309670409272
301,0.90756875,0.8730037486632901
302,0.816041856232939,0.7952779438135087
303,0.9525645833333334,0.8658358728776665
304,0.9319141986062718,0.9330462814761379
305,0.9347440279447116,0.9397426470588235
306,0.8034190476190476,0.6386575826394146
307,0.7646351490236383,0.5321565687544015
308,0.879596163837286,0.8603614276175501
309,0.91630658436214,0.9188534387147488
310,0.8593726163234172,0.9057904057904058
311,0.88702002936354,0.9818140139069306
312,0.979136302294197,0.8667112124689511
313,0.9113666666666667,0.8626085221035825
314,0.9592619656558276,0.9528919285419492
315,0.9427589029881294,0.8872174906905578
316,0.917173501577287,0.9999227142746735
317,0.9592375578703703,0.9400956729723853
318,0.8993720565149137,0.7978495002111784
319,0.972705995732085,0.9079082505991098
320,0.9624307321947675,0.9598632126294093
321,0.9234731707317073,0.8417594127397585
322,0.9558597527606396,0.8312916328188464
323,0.9653098024170343,0.9669605635152618
324,0.8655378425149663,0.7860616267760989
325,0.84280625,0.7970150575730736
326,0.9569559099437148,0.951123775999106
327,0.7524851356373096,nan
