Horse_ID,Accuracy,Precision (IoU)
1,0.9590826271186441,0.8337134516261461
2,0.929490776460686,0.8821166608452672
3,0.8152059313675475,nan
4,0.9293082811412665,0.8939723544074326
5,0.8240679190751445,0.871364169702958
6,0.8975073158692662,0.935143500281373
7,0.8556198999736773,0.762302580478122
8,0.9412164965563024,0.9946073474890462
9,0.8182587064676617,nan
10,0.8440388605923411,0.6342383956737269
11,0.9863645950506187,0.9510046113306982
12,0.686214953271028,1.0
13,0.8491908713692946,0.8814032532168002
14,0.681664964249234,0.9009393680614859
15,0.7700534759358288,0.5900945744151319
16,0.8593073593073594,0.9150805270863837
17,0.7781716833890747,0.9226495726495727
18,0.841688181296615,0.8461711374194515
19,0.7496104002624672,0.5027292576419214
20,0.90496,0.8553737425187826
21,0.7773492063492063,nan
22,0.9159412955465587,0.9414159109645507
23,0.9047488584474885,0.881750151688802
24,0.926504424778761,0.8754483368545177
25,0.8306313757926661,nan
26,0.7944191520332001,nan
27,0.9761413296141329,0.9713264820735201
28,0.7285746251957932,0.6629946960424317
29,0.7115283921639433,nan
30,0.6814575374669409,0.5195891974134652
31,0.8458441558441558,0.7420100304848067
32,0.9148323267641449,0.88036593947924
33,0.7109878835255032,nan
34,0.9483099352051836,0.8554649315738025
35,0.8237403100775194,0.5619576832656551
36,0.9177620227214487,0.7710752145381121
37,0.9332179443881572,0.9237311274485018
38,0.9639708333333333,0.9807361387355576
39,0.79796875,0.5576636400596287
40,0.8611182346801849,0.6714639029560712
41,0.9066438802083333,0.7755192276986944
42,0.9140083185775417,0.9537875508613973
43,0.910647558576818,0.9583535232460278
44,0.9709191658559283,0.9498419955624285
45,0.8533080192119094,0.7532628331337407
46,0.9622817434138189,0.9220580338497644
47,0.9593094220928595,0.936263554341528
48,0.9064332202612686,0.9698323646991635
49,0.8156461538461538,0.6864348008826311
50,0.9311452303045558,0.9021694686966352
51,0.9266423226525095,0.9047522233007161
52,0.9180254041570439,0.9635262706207686
53,0.7691489361702127,0.608814336604474
54,0.7679902651466632,0.8672139640537202
55,0.883575,0.6924204355108877
56,0.9277093281126199,0.8730834337622169
57,0.85687483721731,0.7160724750060672
58,0.943775956284153,0.9335147602601809
59,0.8343238674780257,0.75833461530009
60,0.8871541501976284,0.764008744678403
61,0.8274294173628001,0.998937526561836
62,0.9227877385772123,0.6571997105643994
63,0.8037147539605832,nan
64,0.8285834502103787,nan
65,0.9423860677083333,0.9185841533367533
66,0.8718254841549296,0.9797776456055268
67,0.8986488063289071,0.8134606675723913
68,0.9733722950560733,0.8811398982492351
69,0.8556727828746178,0.8080705204748191
70,0.9128,0.8719419436893688
71,0.9358223684210526,0.865980599734108
72,0.9606315104166666,0.9290666666666667
73,0.8748700173310225,0.9478452112897314
74,0.9762898724082935,0.944639359886053
75,0.9656852459016394,0.9653349582968351
76,0.8563053385416667,0.8134000838056591
77,0.90583984375,0.8901124058515144
78,0.9561414790996785,0.9569009944456109
79,0.9755139069737656,0.939945320380103
80,0.8508553786706874,nan
81,0.9572819010416667,0.9631279129984464
82,0.9224018530900755,0.7703326810176125
83,0.9685346215780999,0.9865895953757226
84,0.8682007496876302,0.7074896756344974
85,0.9126682692307693,0.8232802356394874
86,0.8821940104166667,0.7572339157151373
87,0.9723665364583334,0.9798408845738943
88,0.9588053385416667,0.8375007285656001
89,0.976552734375,0.7975894394490147
